city,sum
서울특별시,1702
서울특별시,1426
서울특별시,1796
서울특별시,1828
서울특별시,9709
서울특별시,4919
서울특별시,32579
서울특별시,6644
서울특별시,4604
서울특별시,9098
서울특별시,12418
서울특별시,12882
서울특별시,3410
서울특별시,8237
서울특별시,17725
서울특별시,246
서울특별시,1124
서울특별시,13589
서울특별시,1964
서울특별시,4648
서울특별시,10760
서울특별시,5033
서울특별시,7171
서울특별시,12029
서울특별시,6685
서울특별시,5927
서울특별시,3900
서울특별시,104216
서울특별시,47851
서울특별시,31264
서울특별시,114867
서울특별시,9536
서울특별시,10977
서울특별시,29106
서울특별시,5577
서울특별시,97798
서울특별시,36975
서울특별시,45604
서울특별시,224285
서울특별시,244763
서울특별시,17990
서울특별시,97278
서울특별시,36006
서울특별시,27667
서울특별시,264
서울특별시,48769
서울특별시,68888
서울특별시,108410
서울특별시,8424
서울특별시,989
서울특별시,8009
서울특별시,71589
서울특별시,61571
서울특별시,25243
서울특별시,43393
서울특별시,80163
서울특별시,11163
서울특별시,42050
서울특별시,30262
서울특별시,14578
서울특별시,24890
서울특별시,3830
서울특별시,44671
서울특별시,22293
서울특별시,54002
서울특별시,106025
서울특별시,37742
서울특별시,36723
서울특별시,42604
서울특별시,31056
서울특별시,29590
서울특별시,84580
서울특별시,61904
서울특별시,43217
서울특별시,59056
서울특별시,37852
서울특별시,52491
서울특별시,36541
서울특별시,42868
서울특별시,46341
서울특별시,50882
서울특별시,45057
서울특별시,24282
서울특별시,66455
서울특별시,65681
서울특별시,85821
서울특별시,32871
부산광역시,11430
부산광역시,529
부산광역시,65
부산광역시,262
부산광역시,326
부산광역시,96
부산광역시,1291
부산광역시,566
부산광역시,62
부산광역시,137
부산광역시,59
부산광역시,137
부산광역시,98
부산광역시,2114
부산광역시,992
부산광역시,523
부산광역시,153
부산광역시,4439
부산광역시,6156
부산광역시,2178
부산광역시,2019
부산광역시,746
부산광역시,1074
부산광역시,731
부산광역시,1855
부산광역시,347
부산광역시,212
부산광역시,85
부산광역시,62
부산광역시,32
부산광역시,82
부산광역시,57
부산광역시,32
부산광역시,31
부산광역시,72
부산광역시,55
부산광역시,9
부산광역시,200
부산광역시,209
부산광역시,317
부산광역시,5531
부산광역시,6996
부산광역시,7505
부산광역시,5601
부산광역시,9125
부산광역시,15106
부산광역시,1443
부산광역시,1293
부산광역시,1200
부산광역시,315
부산광역시,3224
부산광역시,2705
부산광역시,1020
부산광역시,684
부산광역시,312
부산광역시,5909
부산광역시,314
부산광역시,1925
부산광역시,4093
부산광역시,1190
부산광역시,1156
부산광역시,697
부산광역시,13296
부산광역시,14646
부산광역시,29095
부산광역시,22330
부산광역시,13977
부산광역시,21268
부산광역시,1170
부산광역시,1294
부산광역시,1755
부산광역시,353
부산광역시,3135
부산광역시,1119
부산광역시,1793
부산광역시,1200
부산광역시,2635
부산광역시,1708
부산광역시,6175
부산광역시,1916
부산광역시,3670
부산광역시,2195
부산광역시,1427
부산광역시,3163
부산광역시,1952
부산광역시,5025
부산광역시,2740
부산광역시,23128
부산광역시,40741
부산광역시,31172
부산광역시,43678
부산광역시,19595
부산광역시,34264
부산광역시,6833
부산광역시,23689
부산광역시,21256
부산광역시,39894
부산광역시,43305
부산광역시,36520
부산광역시,55096
부산광역시,28267
부산광역시,40543
부산광역시,3281
부산광역시,20235
부산광역시,5707
부산광역시,11496
부산광역시,26330
부산광역시,84493
부산광역시,53095
부산광역시,92673
부산광역시,79912
부산광역시,8072
부산광역시,45727
부산광역시,12727
부산광역시,17536
부산광역시,36812
부산광역시,87110
부산광역시,61868
부산광역시,33760
부산광역시,59753
부산광역시,35283
부산광역시,348
부산광역시,70317
부산광역시,60738
부산광역시,80481
부산광역시,43150
부산광역시,87330
부산광역시,9650
부산광역시,58301
부산광역시,25695
부산광역시,46813
부산광역시,33958
부산광역시,37250
부산광역시,64078
부산광역시,12800
부산광역시,23555
부산광역시,1714
부산광역시,790
부산광역시,8917
부산광역시,27640
부산광역시,522
부산광역시,241
부산광역시,51329
부산광역시,44056
부산광역시,53187
부산광역시,24674
부산광역시,4936
부산광역시,2638
부산광역시,1003
부산광역시,6223
부산광역시,7002
부산광역시,4093
부산광역시,83806
부산광역시,417
부산광역시,460
부산광역시,406
부산광역시,974
부산광역시,1359
부산광역시,4049
부산광역시,1190
부산광역시,544
부산광역시,68
부산광역시,10381
부산광역시,82
부산광역시,1004
부산광역시,17182
부산광역시,994
부산광역시,1044
부산광역시,698
부산광역시,760
부산광역시,624
부산광역시,59976
부산광역시,143895
부산광역시,37493
부산광역시,14333
부산광역시,28242
부산광역시,67713
부산광역시,27126
부산광역시,5596
부산광역시,37250
부산광역시,21074
부산광역시,22971
부산광역시,12894
부산광역시,50610
부산광역시,27565
부산광역시,25536
부산광역시,8240
부산광역시,10486
부산광역시,110
부산광역시,1478
부산광역시,3152
부산광역시,14229
부산광역시,8104
부산광역시,1364
부산광역시,478
부산광역시,200
부산광역시,132
부산광역시,175
부산광역시,739
부산광역시,4147
부산광역시,1461
부산광역시,230
부산광역시,312
부산광역시,248
부산광역시,202
부산광역시,357
부산광역시,388
부산광역시,1144
부산광역시,256
부산광역시,470
부산광역시,511
부산광역시,3035
부산광역시,7328
부산광역시,6123
부산광역시,252
부산광역시,337
부산광역시,11572
부산광역시,133
부산광역시,28974
부산광역시,25610
부산광역시,158
부산광역시,535
부산광역시,19060
부산광역시,5289
부산광역시,436
부산광역시,470
부산광역시,315
부산광역시,304
부산광역시,502
부산광역시,296
부산광역시,83
부산광역시,499
부산광역시,364
부산광역시,122
부산광역시,310
부산광역시,260
부산광역시,330
부산광역시,89
부산광역시,587
부산광역시,454
부산광역시,248
부산광역시,298
부산광역시,161
부산광역시,4552
부산광역시,298
부산광역시,462
대구광역시,1021
대구광역시,1107
대구광역시,2763
대구광역시,2732
대구광역시,114
대구광역시,2251
대구광역시,4048
대구광역시,2281
대구광역시,199
대구광역시,93
대구광역시,200
대구광역시,12
대구광역시,132
대구광역시,86
대구광역시,2
대구광역시,13
대구광역시,258
대구광역시,60
대구광역시,41
대구광역시,551
대구광역시,74
대구광역시,244
대구광역시,25
대구광역시,429
대구광역시,781
대구광역시,26
대구광역시,6
대구광역시,302
대구광역시,130
대구광역시,3062
대구광역시,411
대구광역시,411
대구광역시,231
대구광역시,161
대구광역시,209
대구광역시,239
대구광역시,101
대구광역시,76
대구광역시,668
대구광역시,789
대구광역시,125
대구광역시,10
대구광역시,81
대구광역시,89
대구광역시,78
대구광역시,57
대구광역시,126
대구광역시,7
대구광역시,304
대구광역시,173
대구광역시,29
대구광역시,273
대구광역시,109
대구광역시,7466
대구광역시,494
대구광역시,31728
대구광역시,12234
대구광역시,42299
대구광역시,40739
대구광역시,26043
대구광역시,316
대구광역시,15083
대구광역시,10345
대구광역시,2950
대구광역시,9572
대구광역시,6028
대구광역시,10083
대구광역시,29084
대구광역시,1376
대구광역시,390
대구광역시,2547
대구광역시,2858
대구광역시,5249
대구광역시,8992
대구광역시,32395
대구광역시,9844
대구광역시,1407
대구광역시,67
대구광역시,131
대구광역시,19036
대구광역시,26991
대구광역시,119
대구광역시,5904
대구광역시,225
대구광역시,2782
대구광역시,3882
대구광역시,1743
대구광역시,93
대구광역시,189
대구광역시,512
대구광역시,297
대구광역시,833
대구광역시,377
대구광역시,239
대구광역시,234
대구광역시,338
대구광역시,155
대구광역시,233
대구광역시,854
대구광역시,306
대구광역시,574
대구광역시,16336
대구광역시,35467
대구광역시,50598
대구광역시,47423
대구광역시,1444
대구광역시,17609
대구광역시,441
대구광역시,1822
대구광역시,1155
대구광역시,4384
대구광역시,11581
대구광역시,36964
대구광역시,93228
대구광역시,878
대구광역시,22143
대구광역시,23
대구광역시,1579
대구광역시,3116
대구광역시,41725
대구광역시,2008
대구광역시,4070
대구광역시,5068
대구광역시,17111
대구광역시,37051
대구광역시,38504
대구광역시,6277
대구광역시,11023
대구광역시,13846
대구광역시,1253
대구광역시,804
대구광역시,26217
대구광역시,189
대구광역시,9164
대구광역시,239
대구광역시,20673
대구광역시,34320
대구광역시,27369
대구광역시,15989
대구광역시,46180
대구광역시,12999
대구광역시,4533
대구광역시,846
대구광역시,16766
대구광역시,9740
대구광역시,68028
대구광역시,52043
대구광역시,17397
대구광역시,3336
대구광역시,8096
대구광역시,13966
대구광역시,35111
대구광역시,12520
대구광역시,15807
대구광역시,12105
대구광역시,14597
대구광역시,39269
대구광역시,27718
대구광역시,19404
대구광역시,16703
대구광역시,240
대구광역시,11707
대구광역시,30724
대구광역시,4359
대구광역시,6365
대구광역시,430
대구광역시,549
대구광역시,603
대구광역시,250
대구광역시,271
대구광역시,196
대구광역시,22723
대구광역시,21809
대구광역시,6594
대구광역시,76
대구광역시,229
대구광역시,16472
대구광역시,38082
대구광역시,162
대구광역시,17261
대구광역시,57153
대구광역시,8060
대구광역시,32809
대구광역시,19836
대구광역시,64773
대구광역시,34431
대구광역시,30429
대구광역시,23160
대구광역시,10811
대구광역시,54650
대구광역시,268
대구광역시,36196
대구광역시,21120
대구광역시,11900
대구광역시,7924
대구광역시,13963
대구광역시,8210
대구광역시,4333
대구광역시,2410
대구광역시,11212
대구광역시,6575
대구광역시,432
대구광역시,3106
대구광역시,451
대구광역시,230
대구광역시,212
대구광역시,176
대구광역시,5554
대구광역시,7070
대구광역시,127
대구광역시,153
대구광역시,133
대구광역시,164
대구광역시,8
대구광역시,25845
대구광역시,14088
대구광역시,20024
대구광역시,30265
대구광역시,224
대구광역시,372
대구광역시,211
대구광역시,193
대구광역시,180
대구광역시,143
대구광역시,24406
대구광역시,2661
대구광역시,111
대구광역시,217
대구광역시,275
대구광역시,375
대구광역시,218
대구광역시,170
대구광역시,283
대구광역시,120
대구광역시,416
대구광역시,9823
대구광역시,6789
대구광역시,66
대구광역시,566
대구광역시,399
대구광역시,413
대구광역시,491
대구광역시,5707
대구광역시,1
대구광역시,1088
대구광역시,14405
대구광역시,1870
대구광역시,475
대구광역시,546
대구광역시,1084
대구광역시,131
대구광역시,137
대구광역시,253
대구광역시,2850
대구광역시,106
대구광역시,3196
대구광역시,292
대구광역시,291
대구광역시,421
대구광역시,498
대구광역시,373
대구광역시,416
대구광역시,474
대구광역시,325
대구광역시,252
대구광역시,565
대구광역시,554
대구광역시,561
대구광역시,335
대구광역시,245
대구광역시,327
대구광역시,241
대구광역시,471
대구광역시,229
대구광역시,426
대구광역시,633
대구광역시,6587
대구광역시,9534
대구광역시,204
대구광역시,145
대구광역시,219
대구광역시,124
대구광역시,51
대구광역시,119
대구광역시,129
대구광역시,199
대구광역시,1799
대구광역시,203
대구광역시,116
대구광역시,105
대구광역시,132
인천광역시,70
인천광역시,65
인천광역시,271
인천광역시,61
인천광역시,55
인천광역시,9
인천광역시,15
인천광역시,227
인천광역시,115
인천광역시,104
인천광역시,76
인천광역시,1
인천광역시,7
인천광역시,5761
인천광역시,17
인천광역시,240
인천광역시,317
인천광역시,370
인천광역시,1245
인천광역시,256
인천광역시,1245
인천광역시,4093
인천광역시,2448
인천광역시,5819
인천광역시,1019
인천광역시,433
인천광역시,2664
인천광역시,3952
인천광역시,1135
인천광역시,1000
인천광역시,514
인천광역시,859
인천광역시,2137
인천광역시,1275
인천광역시,1047
인천광역시,328
인천광역시,436
인천광역시,2956
인천광역시,545
인천광역시,643
인천광역시,44505
인천광역시,20767
인천광역시,35996
인천광역시,3421
인천광역시,1609
인천광역시,848
인천광역시,587
인천광역시,702
인천광역시,6699
인천광역시,7170
인천광역시,17613
인천광역시,1856
인천광역시,688
인천광역시,1698
인천광역시,23085
인천광역시,46250
인천광역시,89539
인천광역시,48988
인천광역시,55080
인천광역시,137705
인천광역시,14715
인천광역시,14446
인천광역시,38753
인천광역시,16751
인천광역시,54823
인천광역시,24284
인천광역시,61146
인천광역시,190198
인천광역시,110580
인천광역시,95307
인천광역시,116784
인천광역시,5208
인천광역시,53064
인천광역시,308
인천광역시,11341
인천광역시,514
인천광역시,8923
인천광역시,103999
인천광역시,883
인천광역시,136425
인천광역시,54917
인천광역시,82834
인천광역시,41667
인천광역시,61418
인천광역시,33750
인천광역시,65872
인천광역시,9417
인천광역시,2837
인천광역시,55754
인천광역시,62415
인천광역시,72329
인천광역시,8292
인천광역시,12834
인천광역시,13308
인천광역시,17381
인천광역시,2024
인천광역시,10665
인천광역시,15228
인천광역시,9367
인천광역시,179
인천광역시,157
인천광역시,58
인천광역시,116
인천광역시,1443
인천광역시,3354
인천광역시,139
인천광역시,192
인천광역시,108
인천광역시,778
인천광역시,3399
인천광역시,219
인천광역시,90
인천광역시,31882
인천광역시,13181
인천광역시,4723
인천광역시,13741
인천광역시,21139
인천광역시,50739
인천광역시,30504
인천광역시,47951
인천광역시,280
인천광역시,58752
인천광역시,51084
인천광역시,56517
인천광역시,37487
인천광역시,1010
인천광역시,4641
인천광역시,5559
인천광역시,19629
인천광역시,22514
인천광역시,113394
인천광역시,2975
인천광역시,4648
인천광역시,1339
인천광역시,2266
인천광역시,6134
인천광역시,2291
인천광역시,1960
인천광역시,357
인천광역시,731
인천광역시,634
인천광역시,531
인천광역시,637
인천광역시,467
인천광역시,3884
인천광역시,830
인천광역시,951
인천광역시,950
인천광역시,580
인천광역시,277
인천광역시,470
인천광역시,575
인천광역시,828
인천광역시,955
인천광역시,403
인천광역시,2347
인천광역시,1238
인천광역시,273
인천광역시,1264
인천광역시,874
인천광역시,1313
인천광역시,1
인천광역시,822
인천광역시,644
인천광역시,461
인천광역시,543
인천광역시,399
인천광역시,353
인천광역시,374
인천광역시,416
인천광역시,547
인천광역시,366
인천광역시,378
인천광역시,300
인천광역시,820
인천광역시,767
인천광역시,340
인천광역시,823
인천광역시,505
인천광역시,1168
인천광역시,492
인천광역시,701
인천광역시,402
인천광역시,293
인천광역시,439
인천광역시,638
인천광역시,555
인천광역시,368
인천광역시,356
인천광역시,618
인천광역시,616
인천광역시,481
인천광역시,77
인천광역시,570
인천광역시,381
인천광역시,443
인천광역시,423
인천광역시,586
인천광역시,322
인천광역시,372
인천광역시,286
인천광역시,531
인천광역시,716
인천광역시,472
인천광역시,489
인천광역시,226
인천광역시,202
인천광역시,171
인천광역시,291
인천광역시,281
인천광역시,123
인천광역시,220
인천광역시,197
인천광역시,139
인천광역시,170
인천광역시,121
인천광역시,194
인천광역시,685
인천광역시,176
인천광역시,148
인천광역시,277
인천광역시,809
인천광역시,63
인천광역시,33
인천광역시,338
인천광역시,35
인천광역시,18
인천광역시,252
인천광역시,2
인천광역시,387
인천광역시,648
인천광역시,111
인천광역시,990
인천광역시,2
인천광역시,2341
인천광역시,1526
인천광역시,339
인천광역시,415
인천광역시,392
인천광역시,1226
인천광역시,219
인천광역시,246
인천광역시,711
인천광역시,415
인천광역시,277
인천광역시,75
인천광역시,72
인천광역시,107
인천광역시,30
인천광역시,1448
인천광역시,4211
인천광역시,1006
인천광역시,730
인천광역시,378
인천광역시,234
인천광역시,1
인천광역시,2117
광주광역시,1249
광주광역시,370
광주광역시,313
광주광역시,963
광주광역시,67
광주광역시,181
광주광역시,515
광주광역시,3770
광주광역시,23328
광주광역시,18399
광주광역시,8573
광주광역시,336
광주광역시,66
광주광역시,777
광주광역시,274
광주광역시,119
광주광역시,49
광주광역시,1573
광주광역시,10119
광주광역시,119
광주광역시,4880
광주광역시,14025
광주광역시,3509
광주광역시,133
광주광역시,2630
광주광역시,8471
광주광역시,17
광주광역시,10
광주광역시,25
광주광역시,486
광주광역시,4
광주광역시,109
광주광역시,146
광주광역시,240
광주광역시,7890
광주광역시,15880
광주광역시,7633
광주광역시,8450
광주광역시,448
광주광역시,47952
광주광역시,56540
광주광역시,30768
광주광역시,7238
광주광역시,634
광주광역시,443
광주광역시,293
광주광역시,35675
광주광역시,497
광주광역시,47574
광주광역시,3084
광주광역시,744
광주광역시,15864
광주광역시,951
광주광역시,404
광주광역시,3654
광주광역시,24077
광주광역시,19032
광주광역시,27832
광주광역시,9592
광주광역시,28583
광주광역시,105
광주광역시,11489
광주광역시,10710
광주광역시,5130
광주광역시,6801
광주광역시,15026
광주광역시,41166
광주광역시,317
광주광역시,116
광주광역시,122
광주광역시,415
광주광역시,2308
광주광역시,2283
광주광역시,434
광주광역시,331
광주광역시,187
광주광역시,238
광주광역시,359
광주광역시,267
광주광역시,247
광주광역시,316
광주광역시,209
광주광역시,19541
광주광역시,2716
광주광역시,330
광주광역시,904
광주광역시,9115
광주광역시,12565
광주광역시,37650
광주광역시,22859
광주광역시,43865
광주광역시,13702
광주광역시,5475
광주광역시,35409
광주광역시,15461
광주광역시,35896
광주광역시,22593
광주광역시,13699
광주광역시,13588
광주광역시,256
광주광역시,22
광주광역시,254
광주광역시,598
광주광역시,310
광주광역시,86
광주광역시,539
광주광역시,361
광주광역시,7621
광주광역시,29162
광주광역시,20706
광주광역시,16196
광주광역시,29330
광주광역시,10998
광주광역시,369
광주광역시,204
광주광역시,133
광주광역시,255
광주광역시,514
광주광역시,182
광주광역시,246
광주광역시,258
광주광역시,355
광주광역시,678
광주광역시,16949
광주광역시,14499
광주광역시,4433
광주광역시,166
광주광역시,953
광주광역시,12982
광주광역시,18976
광주광역시,29649
광주광역시,378
광주광역시,156
광주광역시,4843
광주광역시,2804
광주광역시,22308
광주광역시,37285
광주광역시,11679
광주광역시,18913
광주광역시,35916
광주광역시,37139
광주광역시,29938
광주광역시,227
광주광역시,246
광주광역시,30745
광주광역시,7021
광주광역시,6859
광주광역시,256
광주광역시,19638
광주광역시,22656
광주광역시,178
광주광역시,191
광주광역시,268
광주광역시,184
광주광역시,171
광주광역시,554
광주광역시,272
광주광역시,120
광주광역시,119
광주광역시,417
광주광역시,312
광주광역시,261
광주광역시,149
광주광역시,201
광주광역시,203
광주광역시,230
광주광역시,1007
광주광역시,706
광주광역시,332
광주광역시,284
광주광역시,896
광주광역시,275
광주광역시,345
광주광역시,233
광주광역시,220
광주광역시,275
광주광역시,299
광주광역시,314
광주광역시,267
광주광역시,265
광주광역시,104
광주광역시,358
광주광역시,86
광주광역시,134
광주광역시,126
광주광역시,207
광주광역시,123
광주광역시,184
광주광역시,339
광주광역시,187
광주광역시,174
광주광역시,153
광주광역시,130
광주광역시,38
광주광역시,157
광주광역시,201
광주광역시,139
광주광역시,189
광주광역시,106
광주광역시,119
광주광역시,479
대전광역시,399
대전광역시,7019
대전광역시,2960
대전광역시,8489
대전광역시,12669
대전광역시,8102
대전광역시,19881
대전광역시,384
대전광역시,21696
대전광역시,14253
대전광역시,10927
대전광역시,667
대전광역시,1557
대전광역시,31235
대전광역시,20348
대전광역시,11254
대전광역시,10653
대전광역시,13647
대전광역시,889
대전광역시,688
대전광역시,366
대전광역시,255
대전광역시,182
대전광역시,83
대전광역시,164
대전광역시,83
대전광역시,560
대전광역시,195
대전광역시,252
대전광역시,45
대전광역시,38
대전광역시,2
대전광역시,51
대전광역시,72
대전광역시,10103
대전광역시,503
대전광역시,351
대전광역시,7733
대전광역시,59
대전광역시,153
대전광역시,96
대전광역시,356
대전광역시,371
대전광역시,312
대전광역시,842
대전광역시,14065
대전광역시,16450
대전광역시,13964
대전광역시,13380
대전광역시,4471
대전광역시,6741
대전광역시,2776
대전광역시,5650
대전광역시,5411
대전광역시,6595
대전광역시,9183
대전광역시,10529
대전광역시,37919
대전광역시,19500
대전광역시,33313
대전광역시,18261
대전광역시,5909
대전광역시,1539
대전광역시,74
대전광역시,63
대전광역시,143
대전광역시,115
대전광역시,218
대전광역시,258
대전광역시,131
대전광역시,21994
대전광역시,15604
대전광역시,35576
대전광역시,15616
대전광역시,12108
대전광역시,26713
대전광역시,18968
대전광역시,11094
대전광역시,23217
대전광역시,45898
대전광역시,70963
대전광역시,46115
대전광역시,10568
대전광역시,36056
대전광역시,64118
대전광역시,686
대전광역시,286
대전광역시,346
대전광역시,549
대전광역시,491
대전광역시,329
대전광역시,177
대전광역시,330
대전광역시,170
대전광역시,201
대전광역시,320
대전광역시,12540
대전광역시,12004
대전광역시,4707
대전광역시,4748
대전광역시,1936
대전광역시,2199
대전광역시,8145
대전광역시,390
대전광역시,347
대전광역시,339
대전광역시,383
대전광역시,27569
대전광역시,10981
대전광역시,6998
대전광역시,14979
대전광역시,24796
대전광역시,1476
대전광역시,12510
대전광역시,416
대전광역시,14903
대전광역시,42088
대전광역시,11416
대전광역시,6425
대전광역시,9923
대전광역시,694
대전광역시,10956
대전광역시,749
대전광역시,8471
대전광역시,141
대전광역시,4
대전광역시,225
대전광역시,39
대전광역시,10715
대전광역시,2919
대전광역시,103
대전광역시,2181
대전광역시,107
대전광역시,400
대전광역시,488
대전광역시,12567
대전광역시,4096
대전광역시,22059
대전광역시,617
대전광역시,495
대전광역시,4570
대전광역시,9874
대전광역시,23361
대전광역시,17943
대전광역시,5
대전광역시,315
대전광역시,143
대전광역시,4
대전광역시,763
대전광역시,163
대전광역시,14212
대전광역시,6704
대전광역시,6305
대전광역시,1286
대전광역시,1343
대전광역시,2295
대전광역시,26709
대전광역시,28245
대전광역시,19175
대전광역시,15834
대전광역시,16223
대전광역시,5905
대전광역시,16
대전광역시,448
대전광역시,8798
대전광역시,1392
대전광역시,3175
대전광역시,607
대전광역시,100
대전광역시,107
대전광역시,37
대전광역시,132
대전광역시,221
대전광역시,14000
울산광역시,11057
울산광역시,3406
울산광역시,14865
울산광역시,1223
울산광역시,3116
울산광역시,1746
울산광역시,2641
울산광역시,17696
울산광역시,20661
울산광역시,14283
